year,extent (millions of square kilometers)
2000,14.2
2001,14.2
2002,14.25
2003,14.35
2004,14
2005,13.7
2006,13.5
2007,13.7
2008,13.9
2009,13.8
2010,13.65
2011,13.5
2012,13.75
2013,13.65
2014,13.6
2015,13.5
